lanp16,lanp16_label,langsos,langsoslbl,langoha,langohastr,langohalbl,langc39,lc39label,langc42,lc42label,langc12,lc12label,langc5,lc5label
1340,India N.E.C.,36,Other India/Pakistan,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1350,Hindi,28,Hindi,14,hin,Hindi,hin,Hindi,hin,Hindi,oie,Other Indo-European languages,oie,Other Indo-European languages
1360,Urdu,29,Urdu,41,urd,Urdu,urd,Urdu,urd,Urdu,oie,Other Indo-European languages,oie,Other Indo-European languages
1380,Bengali,30,Bengali,4,ben,Bengali,oin,Other Indic languages,ben,Bengali,oie,Other Indo-European languages,oie,Other Indo-European languages
1420,Punjabi,31,Panjabi,29,pan,Punjabi,oin,Other Indic languages,pan,Punjabi,oie,Other Indo-European languages,oie,Other Indo-European languages
1435,Konkani,36,Other India/Pakistan,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1440,Marathi,33,Marathi,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1450,Gujarati,34,Gujarati,11,guj,Gujarati,guj,Gujarati,guj,Gujarati,oie,Other Indo-European languages,oie,Other Indo-European languages
1500,Nepali,35,Nepali,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1515,Sindhi,36,Other India/Pakistan,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1525,Pakistan N.E.C.,36,Other India/Pakistan,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1530,Sinhala,37,Sinhalese,24,qin,"Nepali, Marathi, or other Indic languages",oin,Other Indic languages,oin,"Nepali, Marathi, or other Indic languages",oie,Other Indo-European languages,oie,Other Indo-European languages
1540,Other Indo-Iranian languages,38,Other Indo-European,23,qie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1564,Other Indo-European languages,38,Other Indo-European,23,qie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages,oie,Other Indo-European languages
1565,Finnish,39,Finnish,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1582,Hungarian,40,Hungarian,28,und,Other and unspecified languages,hun,Hungarian,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1603,Georgian,41,Georgian,28,und,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1652,Uzbek,42,Uzbek/Uyghur,22,qas,Other languages of Asia,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1675,Turkish,43,Turkish,22,qas,Other languages of Asia,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1690,Mongolian,44,Mongolian,22,qas,Other languages of Asia,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages,oth,Other and unspecified languages
1730,Telugu,45,Telugu,37,tel,Telugu,oas,Other Asian languages,tel,Telugu,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
1737,Kannada,46,Kannada,20,qdr,"Malayalam, Kannada, or other Dravidian languages",oas,Other Asian languages,mal,"Malayalam, Kannada, or other Dravidian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
1750,Malayalam,47,Malayalam,20,qdr,"Malayalam, Kannada, or other Dravidian languages",oas,Other Asian languages,mal,"Malayalam, Kannada, or other Dravidian languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
1765,Tamil,48,Tamil,36,tam,Tamil,oas,Other Asian languages,tam,Tamil,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
1900,Khmer,49,Khmer,18,khm,Khmer,khm,"Mon-Khmer, Cambodian",khm,Khmer,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
1960,Vietnamese,50,Vietnamese,42,vie,Vietnamese,vie,Vietnamese,vie,Vietnamese,vie,Vietnamese,api,Asian and Pacific Island languages
1970,Chinese,51,Chinese,6,zho,"Chinese (incl. Mandarin, Cantonese)",chn,Chinese,chn,"Chinese (incl. Mandarin, Cantonese)",chn,"Chinese (incl. Mandarin, Cantonese)",api,Asian and Pacific Island languages
2000,Mandarin,51,Chinese,6,zho,"Chinese (incl. Mandarin, Cantonese)",chn,Chinese,chn,"Chinese (incl. Mandarin, Cantonese)",chn,"Chinese (incl. Mandarin, Cantonese)",api,Asian and Pacific Island languages
2030,Min Nan Chinese,51,Chinese,6,zho,"Chinese (incl. Mandarin, Cantonese)",chn,Chinese,chn,"Chinese (incl. Mandarin, Cantonese)",chn,"Chinese (incl. Mandarin, Cantonese)",api,Asian and Pacific Island languages
2050,Cantonese,51,Chinese,6,zho,"Chinese (incl. Mandarin, Cantonese)",chn,Chinese,chn,"Chinese (incl. Mandarin, Cantonese)",chn,"Chinese (incl. Mandarin, Cantonese)",api,Asian and Pacific Island languages
2100,Tibetan,52,Tibetan,22,qas,Other languages of Asia,oas,Other Asian languages,oas,Other languages of Asia,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2160,Burmese,53,Myanma,22,qas,Other languages of Asia,oas,Other Asian languages,oas,Other languages of Asia,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2270,Chin languages,54,Chin,22,qas,Other languages of Asia,oas,Other Asian languages,oas,Other languages of Asia,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2350,Karen languages,55,Karen,22,qas,Other languages of Asia,oas,Other Asian languages,oas,Other languages of Asia,oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
2430,Thai,56,Thai,39,qtl,"Thai, Lao, or other Tai-Kadai languages",tha,Thai,tlk,"Thai, Lao, or other Tai-Kadai languages",oap,Other Asian and Pacific Island languages,api,Asian and Pacific Island languages
